Team 1,Team 2,Winner,Margin,Ground,Match Date,Score Card No,Link
Namibia,Namibia,Namibia,,Namibia,,Namibia,https://stats.espncricinfo.com//ci/content/team/28.html
Netherlands,Netherlands,Netherlands,,Netherlands,,Netherlands,https://stats.espncricinfo.com//ci/content/team/15.html
Scotland,Scotland,Scotland,,Scotland,,Scotland,https://stats.espncricinfo.com//ci/content/team/30.html
Ireland,Ireland,Ireland,,Ireland,,Ireland,https://stats.espncricinfo.com//ci/content/team/29.html
Namibia,Namibia,Namibia,,Namibia,,Namibia,https://stats.espncricinfo.com//ci/content/team/28.html
Sri Lanka,Sri Lanka,Sri Lanka,,Sri Lanka,,Sri Lanka,https://stats.espncricinfo.com//ci/content/team/8.html
Ireland,Ireland,Ireland,,Ireland,,Ireland,https://stats.espncricinfo.com//ci/content/team/29.html
West Indies,West Indies,West Indies,,West Indies,,West Indies,https://stats.espncricinfo.com//ci/content/team/4.html
Netherlands,Netherlands,Netherlands,,Netherlands,,Netherlands,https://stats.espncricinfo.com//ci/content/team/15.html
Namibia,Namibia,Namibia,,Namibia,,Namibia,https://stats.espncricinfo.com//ci/content/team/28.html
Ireland,Ireland,Ireland,,Ireland,,Ireland,https://stats.espncricinfo.com//ci/content/team/29.html
Scotland,Scotland,Scotland,,Scotland,,Scotland,https://stats.espncricinfo.com//ci/content/team/30.html
Australia,Australia,Australia,,Australia,,Australia,https://stats.espncricinfo.com//ci/content/team/2.html
Afghanistan,Afghanistan,Afghanistan,,Afghanistan,,Afghanistan,https://stats.espncricinfo.com//ci/content/team/40.html
Ireland,Ireland,Ireland,,Ireland,,Ireland,https://stats.espncricinfo.com//ci/content/team/29.html
India,India,India,,India,,India,https://stats.espncricinfo.com//ci/content/team/6.html
Bangladesh,Bangladesh,Bangladesh,,Bangladesh,,Bangladesh,https://stats.espncricinfo.com//ci/content/team/25.html
South Africa,South Africa,South Africa,,South Africa,,South Africa,https://stats.espncricinfo.com//ci/content/team/3.html
Australia,Australia,Australia,,Australia,,Australia,https://stats.espncricinfo.com//ci/content/team/2.html
England,England,England,,England,,England,https://stats.espncricinfo.com//ci/content/team/1.html
Afghanistan,Afghanistan,Afghanistan,,Afghanistan,,Afghanistan,https://stats.espncricinfo.com//ci/content/team/40.html
Bangladesh,Bangladesh,Bangladesh,,Bangladesh,,Bangladesh,https://stats.espncricinfo.com//ci/content/team/25.html
India,India,India,,India,,India,https://stats.espncricinfo.com//ci/content/team/6.html
Pakistan,Pakistan,Pakistan,,Pakistan,,Pakistan,https://stats.espncricinfo.com//ci/content/team/7.html
Afghanistan,Afghanistan,Afghanistan,,Afghanistan,,Afghanistan,https://stats.espncricinfo.com//ci/content/team/40.html
Australia,Australia,Australia,,Australia,,Australia,https://stats.espncricinfo.com//ci/content/team/2.html
New Zealand,New Zealand,New Zealand,,New Zealand,,New Zealand,https://stats.espncricinfo.com//ci/content/team/5.html
Bangladesh,Bangladesh,Bangladesh,,Bangladesh,,Bangladesh,https://stats.espncricinfo.com//ci/content/team/25.html
Netherlands,Netherlands,Netherlands,,Netherlands,,Netherlands,https://stats.espncricinfo.com//ci/content/team/15.html
India,India,India,,India,,India,https://stats.espncricinfo.com//ci/content/team/6.html
Australia,Australia,Australia,,Australia,,Australia,https://stats.espncricinfo.com//ci/content/team/2.html
Afghanistan,Afghanistan,Afghanistan,,Afghanistan,,Afghanistan,https://stats.espncricinfo.com//ci/content/team/40.html
England,England,England,,England,,England,https://stats.espncricinfo.com//ci/content/team/1.html
Netherlands,Netherlands,Netherlands,,Netherlands,,Netherlands,https://stats.espncricinfo.com//ci/content/team/15.html
Bangladesh,Bangladesh,Bangladesh,,Bangladesh,,Bangladesh,https://stats.espncricinfo.com//ci/content/team/25.html
Pakistan,Pakistan,Pakistan,,Pakistan,,Pakistan,https://stats.espncricinfo.com//ci/content/team/7.html
Ireland,Ireland,Ireland,,Ireland,,Ireland,https://stats.espncricinfo.com//ci/content/team/29.html
Australia,Australia,Australia,,Australia,,Australia,https://stats.espncricinfo.com//ci/content/team/2.html
England,England,England,,England,,England,https://stats.espncricinfo.com//ci/content/team/1.html
Netherlands,Netherlands,Netherlands,,Netherlands,,Netherlands,https://stats.espncricinfo.com//ci/content/team/15.html
Bangladesh,Bangladesh,Bangladesh,,Bangladesh,,Bangladesh,https://stats.espncricinfo.com//ci/content/team/25.html
India,India,India,,India,,India,https://stats.espncricinfo.com//ci/content/team/6.html
New Zealand,New Zealand,New Zealand,,New Zealand,,New Zealand,https://stats.espncricinfo.com//ci/content/team/5.html
England,England,England,,England,,England,https://stats.espncricinfo.com//ci/content/team/1.html
England,England,England,,England,,England,https://stats.espncricinfo.com//ci/content/team/1.html
